model,transform,std_precision_per_class,std_recall_per_class,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9
cnn_net,transform_none,"[0.013851097053111355, 0.0036017009287423467, 0.04315868385089016, 0.020498021950089325, 0.04344658800788465, 0.004844202800805661, 0.025054454131264527, 0.012207517154713427, 0.003796280265257629, 0.0064217224502262134]","[0.02439540896041198, 0.004447225155135289, 0.030653779803038187, 0.019797741261348305, 0.055776224270817194, 0.004348973789071454, 0.027063712013549145, 0.010077483055499242, 0.004876246427942822, 0.010780644811096442]",0.8789979484346178,0.991717000802358,0.8599709537294176,0.9135769075817533,0.8404320809576247,0.9838602145512899,0.7573165827327304,0.9534311691919962,0.9850924677318997,0.9732013278537326,0.8394444518619113,0.981333335240682,0.8531111081441244,0.9107777807447646,0.8798888855510287,0.9795555538601346,0.7666666640175713,0.9723333385255601,0.9753333263927035,0.9606666564941406
cnn_net_2,transform_none,"[0.027666841310059857, 0.0038320176108766904, 0.029787604510911954, 0.01671152076749468, 0.026780215530554416, 0.007775777978769828, 0.03901178227176751, 0.0067960220530894466, 0.004089164853212947, 0.0036313502505038436]","[0.038433202461591945, 0.0033920727679917864, 0.02850903361620176, 0.016230593080222917, 0.029245232447044172, 0.00505524896851854, 0.041546350868532866, 0.0070395735138553805, 0.003370166706888453, 0.0061644256002383845]",0.8603019515673319,0.9913022716840109,0.8529761499828763,0.921021474732293,0.8669977916611565,0.9810101654794481,0.7644648419486152,0.9541515045695834,0.9850796328650581,0.9806140197647942,0.8609999948077731,0.9852222270435758,0.8701111012034946,0.9168888926506042,0.8607777754465739,0.982333328988817,0.7528888914320204,0.9763333333863152,0.9814444449212816,0.9596666627460055
cnn_net_3,transform_none,"[0.028874375339852668, 0.002601309948449948, 0.01858225109594661, 0.017808308571821748, 0.026720373252045806, 0.003805774976285007, 0.02640661896711076, 0.009789241248492436, 0.005663907936142754, 0.014885803248108368]","[0.031162655959916293, 0.00498887158096073, 0.01624656311055729, 0.01821544875402012, 0.030469579957659216, 0.005807616010669837, 0.03553089822797857, 0.014259499317806101, 0.004382908139666483, 0.011075501395582435]",0.8418503204981486,0.9923828906483121,0.8581401374604967,0.909542527463701,0.8672845694753859,0.9856268101268344,0.7797308365503947,0.9580078456136916,0.9817828006214566,0.9701508548524644,0.87900001472897,0.9826666646533542,0.8817777766121758,0.9225555525885688,0.8507777916060554,0.9812222189373441,0.7243333326445686,0.9683333370420668,0.9848888980017768,0.9656666583485074
