,Precision,Recall
T-shirt/top,0.033381711691617966,0.04600000008940697
Trouser,0.0,0.0
Pullover,0.0,0.0
Dress,0.0,0.0
Coat,0.0,0.0
Sandal,0.6176470518112183,0.06300000101327896
Shirt,0.0,0.0
Sneaker,0.0,0.0
Bag,0.1160903349518776,0.9869999885559082
Ankle boot,0.0,0.0
