model,transform,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,num_runs
cnn_net,transform_none,0.9119111100832621,0.003061754886600436,0.913759688536326,0.0025354941857749446,0.9119110902150472,0.0030617798340687136,9
cnn_net_2,transform_none,0.9146666791703966,0.002057506593644891,0.9157919949955411,0.001371094678838557,0.914666646056705,0.0020575031604343407,9
cnn_net_3,transform_none,0.9141222238540649,0.0025999018320313283,0.9144499633047316,0.0023977626369884315,0.9141222304768033,0.002599909162797816,9
