,Precision,Recall
T-shirt/top,0.8269581198692322,0.9079999923706055
Trouser,0.9840478301048279,0.9869999885559082
Pullover,0.8090497851371765,0.8939999938011169
Dress,0.9427359700202942,0.8889999985694885
Coat,0.8428710103034973,0.8690000176429749
Sandal,0.9732142686843872,0.9810000061988831
Shirt,0.8296296000480652,0.671999990940094
Sneaker,0.9565646648406982,0.968999981880188
Bag,0.9720559120178223,0.9739999771118164
Ankle boot,0.9736575484275818,0.9610000252723694
Overall Accuracy,0.9103999733924866,
