,Precision,Recall
T-shirt/top,0.8003784418106079,0.8460000157356262
Trouser,0.9562682509422302,0.984000027179718
Pullover,0.8395604491233826,0.7639999985694885
Dress,0.8909276127815247,0.8740000128746033
Coat,0.7216238379478455,0.8709999918937683
Sandal,0.9836065769195557,0.9599999785423279
Shirt,0.6932515501976013,0.5649999976158142
Sneaker,0.9208770394325256,0.9660000205039978
Bag,0.9729187488555908,0.9700000286102295
Ankle boot,0.9632278084754944,0.9430000185966492
Overall Accuracy,0.8743000030517578,
