model,transform,std_precision_per_class,std_recall_per_class,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9
cnn_net,transform_3,"[0.03432956488857944, 0.0033078212134939836, 0.031602070384544934, 0.016037418533204468, 0.03610123229649228, 0.004709571345103477, 0.031583465047925946, 0.012741931382851087, 0.008609167590708162, 0.012242556101482007]","[0.025973829034111138, 0.0061122781350701665, 0.030960619361508564, 0.009195647095189304, 0.02227105119942025, 0.0118827531019392, 0.051876761567876926, 0.015144642225588307, 0.004955800047359315, 0.0077974451625010014]",0.8417834520339966,0.9937472581863404,0.8397909760475158,0.9087444424629212,0.8260574460029602,0.9817727088928223,0.8274537801742554,0.941411304473877,0.9736010909080506,0.9689782381057739,0.8884000062942505,0.9808000087738037,0.8627999901771546,0.929200005531311,0.8909999847412109,0.9670000076293945,0.6639999985694885,0.9707999944686889,0.9847999930381774,0.9550000071525574
cnn_net,transform_5,"[0.020174751682589205, 0.0020983828956164436, 0.018112922445413498, 0.012993957899236673, 0.023780483397348375, 0.0016078394941481885, 0.031947720088965854, 0.010343284390419049, 0.0035802821951390344, 0.007785948729733483]","[0.026656330523355448, 0.0037202184211324154, 0.026862617273026516, 0.02023265424539338, 0.0218851464645161, 0.00236643670898872, 0.03478737082476774, 0.008546335483537741, 0.0038157770350518436, 0.01156892188474933]",0.8701470375061036,0.9909215569496155,0.8620905995368957,0.9166714191436768,0.8708336353302002,0.9836729645729065,0.7381584882736206,0.9501364231109619,0.9774870991706848,0.9718545436859131,0.8538000106811523,0.981599998474121,0.8600000023841858,0.9107999920845031,0.8477999925613403,0.9760000109672546,0.773799991607666,0.9715999960899353,0.9802000045776367,0.9616000056266785
cnn_net,transform_none,"[0.01096873637800748, 0.003574259987944837, 0.017779760903897202, 0.02466766809302713, 0.03086842436476724, 0.0057784338781996635, 0.028325867249557962, 0.012733279314278291, 0.0023884187916283018, 0.004605913801238264]","[0.022615033574508517, 0.004127956944319347, 0.022211696908635614, 0.02201271789374118, 0.02394493980708312, 0.004427190964552625, 0.030635928005575387, 0.010107433237100906, 0.004578208119553644, 0.011730306086027396]",0.8817034363746643,0.9913307428359985,0.878579068183899,0.9180221319198608,0.8120954871177674,0.9830074191093445,0.7647717952728271,0.9519249081611634,0.9872714877128601,0.9746556520462036,0.8406000137329102,0.9805999994277954,0.8381999969482422,0.9032000064849853,0.9111999988555908,0.9799999952316284,0.7631999969482421,0.9722000002861023,0.976199996471405,0.9589999914169312
cnn_net_2,transform_3,"[0.018859285124023812, 0.0032062076657439795, 0.04784532098444067, 0.016834676534917607, 0.04142450527514864, 0.00805290161412463, 0.034914987413417864, 0.013090210160630132, 0.0030014954562959254, 0.007002660215334631]","[0.023465705711935417, 0.002939371748049435, 0.05632618978287662, 0.012939858283755708, 0.04961450090398508, 0.006437396414222409, 0.042715808327443996, 0.009264998527578854, 0.0030724691816289324, 0.008726976176328064]",0.8694947957992554,0.993174159526825,0.8473487734794617,0.9125125765800476,0.836082112789154,0.9789034724235535,0.7875885367393494,0.9520948648452758,0.988935923576355,0.9717517256736755,0.8645999908447266,0.9866000056266785,0.8746000051498413,0.9263999938964844,0.8680000066757202,0.9794000029563904,0.7185999989509583,0.9675999999046325,0.981599998474121,0.9597999811172485
cnn_net_2,transform_5,"[0.026025332884274117, 0.0032723829268886894, 0.016886226289020572, 0.009268131129223907, 0.03049994281979273, 0.004203840250836631, 0.01658009068983514, 0.0075936003940921745, 0.010327990815883295, 0.005657026009918628]","[0.02787829997625643, 0.0033226426451727167, 0.019210408900974075, 0.011754152044872462, 0.03392108858143391, 0.005865153043056099, 0.029745576853482128, 0.0037202100897728648, 0.0029257565490254807, 0.005607135426360816]",0.8465513706207275,0.9951426744461059,0.8775362491607666,0.9200543403625489,0.8404935479164124,0.9793296933174134,0.7602681517601013,0.9493714690208435,0.9741960763931274,0.9831688880920411,0.8800000071525573,0.9814000010490418,0.8303999900817871,0.9158000111579895,0.8735999941825867,0.9840000033378601,0.7379999876022338,0.9776000022888184,0.9837999939918518,0.9545999765396118
cnn_net_2,transform_none,"[0.028668260872320918, 0.003891857166668534, 0.015499066457657685, 0.015986446658443183, 0.02058341799803312, 0.009472220770236304, 0.046993760048939466, 0.0043557317020511055, 0.003653496102762356, 0.002351172741832744]","[0.04386068293367363, 0.001897361016958677, 0.009850893847584493, 0.011774541198801716, 0.027374434489502338, 0.004381775737155795, 0.050364282546473335, 0.008034936641515233, 0.0028705437598784333, 0.005314151620328845]",0.8707126975059509,0.9897890210151672,0.8420843005180358,0.91759352684021,0.8695491790771485,0.9799735069274902,0.7653426051139831,0.9538765192031861,0.985930573940277,0.9802125573158265,0.8477999925613403,0.9870000004768371,0.8843999862670898,0.9186000108718873,0.8568000078201294,0.9819999933242798,0.7518000125885009,0.9751999974250793,0.9794000029563904,0.9603999972343444
cnn_net_3,transform_3,"[0.038595961081069774, 0.004193703389147755, 0.02974102589189154, 0.02138236038831201, 0.02510158495512818, 0.003443097039702696, 0.04278364171074897, 0.007354464044785733, 0.013093656663702111, 0.008612815509520593]","[0.05087788791979921, 0.003655122193757232, 0.02464630977795287, 0.012734221132072246, 0.025726251653657113, 0.0062161082391180185, 0.04847432006508879, 0.004399988326187918, 0.009645723844272789, 0.007227719090320139]",0.8682939767837524,0.9881999492645264,0.870509123802185,0.9127788305282593,0.856835663318634,0.987454068660736,0.7450201511383057,0.9477797031402588,0.9744696259498596,0.97397381067276,0.8472000122070312,0.9861999988555908,0.8623999953269958,0.9138000011444092,0.8626000046730041,0.9736000061035156,0.7477999925613403,0.9748000025749206,0.981599998474121,0.9603999972343444
cnn_net_3,transform_5,"[0.011034408276194407, 0.003397507583113949, 0.025696468624525962, 0.02590815215360655, 0.025502344694326034, 0.0019585983361132295, 0.02585095660855216, 0.01109937867086198, 0.005385188064392697, 0.016990410570177736]","[0.015564075857762818, 0.006053090953206111, 0.02381261331847399, 0.01961020730830814, 0.03249246102322831, 0.0057480520979577105, 0.029902500963398127, 0.020903588940516735, 0.002925751659662885, 0.009850874001331588]",0.8475895524024963,0.9913364887237549,0.8561096906661987,0.9244924187660217,0.8372164249420166,0.9848958730697632,0.7875624537467957,0.9567948102951049,0.978337037563324,0.9622815847396851,0.8824000000953675,0.9803999900817871,0.8763999938964844,0.9022000074386597,0.8838000178337098,0.9775999903678894,0.7071999907493591,0.9621999979019165,0.9827999949455262,0.9675999999046325
cnn_net_3,transform_none,"[0.033837654543983034, 0.0027185576357061075, 0.023026981783905102, 0.015302549651153647, 0.03136290908494553, 0.003930037700910083, 0.02552012290267506, 0.00835768194328032, 0.007185198379275014, 0.011549157203677758]","[0.034242672581096034, 0.003440929458284293, 0.01902209794197106, 0.01641220039043071, 0.03417953032553313, 0.005885571109156415, 0.03621381473650312, 0.009329518938828467, 0.005491810409608285, 0.00986711257773617]",0.8370532274246216,0.9925401449203491,0.8529960155487061,0.9034032344818115,0.871040654182434,0.9849632143974304,0.7876828432083129,0.9580421686172486,0.9817510485649109,0.9716768026351928,0.8802000164985657,0.9833999872207642,0.8876000046730042,0.9291999936103821,0.8416000127792358,0.9805999875068665,0.7144000053405761,0.9695999979972839,0.9848000049591065,0.9657999873161316
