transform,std_precision_per_class,std_recall_per_class,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9
transform_1,"[0.031150759530908234, 0.006214879721255631, 0.032507068015835625, 0.017442287717228323, 0.03987387306109156, 0.005209568002283698, 0.0372145909993017, 0.010796888444267676, 0.007158002756309512, 0.022173966765150207]","[0.042049493281776804, 0.005775815286942461, 0.06059571941541546, 0.02546055225382563, 0.03444066551102226, 0.01378983476642631, 0.03882474097063202, 0.017783151394471387, 0.0037629873879425715, 0.01757271322944477]",0.8221607327461242,0.985032832622528,0.8008002161979675,0.8862275004386901,0.7206961631774902,0.9781754374504089,0.6713966608047486,0.9112120628356933,0.9732814192771911,0.9542234182357788,0.8152000069618225,0.9691999912261963,0.7814000010490417,0.8734000086784363,0.8538000106811523,0.945799994468689,0.5771999955177307,0.9574000000953674,0.9661999940872192,0.9430000066757203
transform_2,"[0.03808419397771466, 0.0046329012254794685, 0.038287507393860186, 0.026693089915953344, 0.03696829455747296, 0.00653302191219531, 0.04774197104036767, 0.01360613563672802, 0.0027870164180154103, 0.012408227488787171]","[0.049966394531005966, 0.0031622821838788086, 0.020372524999540276, 0.016414621235538576, 0.06738248895699105, 0.011306624605938863, 0.07734183552996256, 0.01973423264598358, 0.006523804098306652, 0.004963874714919629]",0.8199740886688233,0.9858804702758789,0.7807539939880371,0.8726677536964417,0.7947355270385742,0.9843856930732727,0.6888493418693542,0.9421529173851013,0.980777633190155,0.9478137254714966,0.8273999929428101,0.975,0.8305999994277954,0.8944000124931335,0.7979999780654907,0.9635999917984008,0.6118000090122223,0.9495999932289123,0.9682000041007995,0.9654000043869019
transform_3,"[0.03432956488857944, 0.0033078212134939836, 0.031602070384544934, 0.016037418533204468, 0.03610123229649228, 0.004709571345103477, 0.031583465047925946, 0.012741931382851087, 0.008609167590708162, 0.012242556101482007]","[0.025973829034111138, 0.0061122781350701665, 0.030960619361508564, 0.009195647095189304, 0.02227105119942025, 0.0118827531019392, 0.051876761567876926, 0.015144642225588307, 0.004955800047359315, 0.0077974451625010014]",0.8417834520339966,0.9937472581863404,0.8397909760475158,0.9087444424629212,0.8260574460029602,0.9817727088928223,0.8274537801742554,0.941411304473877,0.9736010909080506,0.9689782381057739,0.8884000062942505,0.9808000087738037,0.8627999901771546,0.929200005531311,0.8909999847412109,0.9670000076293945,0.6639999985694885,0.9707999944686889,0.9847999930381774,0.9550000071525574
transform_4,"[0.032375735856733076, 0.003366938935182516, 0.022792629676288135, 0.023903686221849314, 0.03892210330461105, 0.01257684977345022, 0.04212897683608113, 0.00976386198950018, 0.005317382922002025, 0.015671421161744633]","[0.043187960342628715, 0.003709458772035507, 0.02263094934128591, 0.019813139858569893, 0.03618066652651272, 0.013720056484989772, 0.054812401101385376, 0.010139029929056855, 0.0064683843065352796, 0.014702388662781075]",0.8611495971679688,0.9941393375396729,0.8661433935165406,0.9119447708129883,0.8484361290931701,0.9831672072410583,0.752064299583435,0.9432947516441346,0.9857283115386963,0.9564515471458435,0.8610000014305115,0.9801999926567078,0.8498000025749206,0.9192000031471252,0.8636000037193299,0.9613999843597412,0.7480000138282776,0.9649999856948852,0.9766000032424926,0.9597999930381775
transform_5,"[0.020174751682589205, 0.0020983828956164436, 0.018112922445413498, 0.012993957899236673, 0.023780483397348375, 0.0016078394941481885, 0.031947720088965854, 0.010343284390419049, 0.0035802821951390344, 0.007785948729733483]","[0.026656330523355448, 0.0037202184211324154, 0.026862617273026516, 0.02023265424539338, 0.0218851464645161, 0.00236643670898872, 0.03478737082476774, 0.008546335483537741, 0.0038157770350518436, 0.01156892188474933]",0.8701470375061036,0.9909215569496155,0.8620905995368957,0.9166714191436768,0.8708336353302002,0.9836729645729065,0.7381584882736206,0.9501364231109619,0.9774870991706848,0.9718545436859131,0.8538000106811523,0.981599998474121,0.8600000023841858,0.9107999920845031,0.8477999925613403,0.9760000109672546,0.773799991607666,0.9715999960899353,0.9802000045776367,0.9616000056266785
transform_none,"[0.01096873637800748, 0.003574259987944837, 0.017779760903897202, 0.02466766809302713, 0.03086842436476724, 0.0057784338781996635, 0.028325867249557962, 0.012733279314278291, 0.0023884187916283018, 0.004605913801238264]","[0.022615033574508517, 0.004127956944319347, 0.022211696908635614, 0.02201271789374118, 0.02394493980708312, 0.004427190964552625, 0.030635928005575387, 0.010107433237100906, 0.004578208119553644, 0.011730306086027396]",0.8817034363746643,0.9913307428359985,0.878579068183899,0.9180221319198608,0.8120954871177674,0.9830074191093445,0.7647717952728271,0.9519249081611634,0.9872714877128601,0.9746556520462036,0.8406000137329102,0.9805999994277954,0.8381999969482422,0.9032000064849853,0.9111999988555908,0.9799999952316284,0.7631999969482421,0.9722000002861023,0.976199996471405,0.9589999914169312
