model,transform,std_precision_per_class,std_recall_per_class,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9
cnn_net,transform_3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8249496817588806,0.9807692170143127,0.8064192533493042,0.8408662676811218,0.8418300747871399,0.9711637496948242,0.5971161723136902,0.9082217812538147,0.9612711071968079,0.9505549669265747,0.8199999928474426,0.968999981880188,0.8040000200271606,0.8930000066757202,0.6439999938011169,0.9430000185966492,0.7039999961853027,0.949999988079071,0.9679999947547913,0.9419999718666077
cnn_net_2,transform_3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8270600438117981,0.992790937423706,0.7446074485778809,0.8298829793930054,0.7895833253860474,0.9780334830284119,0.7325581312179565,0.8714538812637329,0.9504373073577881,0.9741657972335815,0.8130000233650208,0.9639999866485596,0.8629999756813049,0.921999990940094,0.7580000162124634,0.9350000023841858,0.5669999718666077,0.9829999804496765,0.9779999852180481,0.9049999713897705
cnn_net_3,transform_3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8492063283920288,0.9937759041786194,0.7997946739196777,0.8614341020584106,0.7037630081176758,0.9402697682380676,0.6765375733375549,0.915354311466217,0.9575936794281006,0.9674711227416992,0.7490000128746033,0.9580000042915344,0.7789999842643738,0.8889999985694885,0.8790000081062317,0.9760000109672546,0.593999981880188,0.9300000071525574,0.9710000157356262,0.921999990940094
