model,transform,std_precision_per_class,std_recall_per_class,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9
cnn_net,transform_3,"[0.03432956488857944, 0.0033078212134939836, 0.031602070384544934, 0.016037418533204468, 0.03610123229649228, 0.004709571345103477, 0.031583465047925946, 0.012741931382851087, 0.008609167590708162, 0.012242556101482007]","[0.025973829034111138, 0.0061122781350701665, 0.030960619361508564, 0.009195647095189304, 0.02227105119942025, 0.0118827531019392, 0.051876761567876926, 0.015144642225588307, 0.004955800047359315, 0.0077974451625010014]",0.8417834520339966,0.9937472581863404,0.8397909760475158,0.9087444424629212,0.8260574460029602,0.9817727088928223,0.8274537801742554,0.941411304473877,0.9736010909080506,0.9689782381057739,0.8884000062942505,0.9808000087738037,0.8627999901771546,0.929200005531311,0.8909999847412109,0.9670000076293945,0.6639999985694885,0.9707999944686889,0.9847999930381774,0.9550000071525574
cnn_net,transform_5,"[0.020174751682589205, 0.0020983828956164436, 0.018112922445413498, 0.012993957899236673, 0.023780483397348375, 0.0016078394941481885, 0.031947720088965854, 0.010343284390419049, 0.0035802821951390344, 0.007785948729733483]","[0.026656330523355448, 0.0037202184211324154, 0.026862617273026516, 0.02023265424539338, 0.0218851464645161, 0.00236643670898872, 0.03478737082476774, 0.008546335483537741, 0.0038157770350518436, 0.01156892188474933]",0.8701470375061036,0.9909215569496155,0.8620905995368957,0.9166714191436768,0.8708336353302002,0.9836729645729065,0.7381584882736206,0.9501364231109619,0.9774870991706848,0.9718545436859131,0.8538000106811523,0.981599998474121,0.8600000023841858,0.9107999920845031,0.8477999925613403,0.9760000109672546,0.773799991607666,0.9715999960899353,0.9802000045776367,0.9616000056266785
cnn_net,transform_none,"[0.01096873637800748, 0.003574259987944837, 0.017779760903897202, 0.02466766809302713, 0.03086842436476724, 0.0057784338781996635, 0.028325867249557962, 0.012733279314278291, 0.0023884187916283018, 0.004605913801238264]","[0.022615033574508517, 0.004127956944319347, 0.022211696908635614, 0.02201271789374118, 0.02394493980708312, 0.004427190964552625, 0.030635928005575387, 0.010107433237100906, 0.004578208119553644, 0.011730306086027396]",0.8817034363746643,0.9913307428359985,0.878579068183899,0.9180221319198608,0.8120954871177674,0.9830074191093445,0.7647717952728271,0.9519249081611634,0.9872714877128601,0.9746556520462036,0.8406000137329102,0.9805999994277954,0.8381999969482422,0.9032000064849853,0.9111999988555908,0.9799999952316284,0.7631999969482421,0.9722000002861023,0.976199996471405,0.9589999914169312
cnn_net_2,transform_3,"[0.020039432161479402, 0.0045562067975457214, 0.026169343215528582, 0.006490719071916902, 0.016059296788985794, 0.00793366054790971, 0.06255817397389649, 0.013315684550641282, 0.008865438762496935, 0.010547055379148055]","[0.03989688058003165, 0.0031874621281005556, 0.036734726859893096, 0.011253451151157928, 0.016596388829651736, 0.007222182202880016, 0.04761259948848763, 0.008777255250487911, 0.004261446722585992, 0.012039940528225877]",0.8734350681304932,0.9912127375602722,0.8726171493530274,0.9203458786010742,0.867678439617157,0.9837443590164184,0.7599739193916321,0.9424006700515747,0.9830764412879944,0.9757507085800171,0.8452000021934509,0.9887999892234802,0.8656000018119812,0.9205999970436096,0.8695999979972839,0.973199999332428,0.7741999983787536,0.9764000058174134,0.9807999849319458,0.9567999958992004
cnn_net_2,transform_5,"[0.028002041489846242, 0.005222829721232647, 0.023834677402844937, 0.0075774760562333865, 0.00945059899255374, 0.003911352457152844, 0.049234984119114006, 0.010149579831574397, 0.005024423940107473, 0.010093863028545782]","[0.033438898999767104, 0.0078841405736442, 0.022030882219858477, 0.01943193505405834, 0.027572459331238416, 0.006511524957753725, 0.04393904020298914, 0.008494704046276023, 0.005099024002354186, 0.007720107690433038]",0.8720893621444702,0.9907979249954224,0.8457522630691529,0.9275874733924866,0.8772584557533264,0.9851252555847168,0.7556471228599548,0.9553829193115234,0.977958345413208,0.9729912400245666,0.8552000045776367,0.9837999939918518,0.8787999868392944,0.9120000004768372,0.850600004196167,0.978000009059906,0.7664000034332276,0.9722000122070312,0.9830000042915344,0.9659999966621399
cnn_net_2,transform_none,"[0.010384964850797311, 0.002865921651178301, 0.03188226932198254, 0.007419182272278259, 0.03152463168009725, 0.006740211435705251, 0.02183094439144188, 0.008483739417382289, 0.004366393703076446, 0.009009691922868024]","[0.0066753303417604725, 0.0016733127580808498, 0.032832919308597094, 0.0066452781147561075, 0.035765906707201776, 0.0069684967159432025, 0.025203185747506296, 0.011471693795163862, 0.002785685440471116, 0.007641986037655477]",0.8787692785263062,0.9937546253204346,0.8594637989997864,0.9144059419631958,0.8628736138343811,0.9828456997871399,0.7524797201156617,0.9577863574028015,0.9812290787696838,0.9700296521186829,0.8538000106811523,0.9850000023841858,0.8620000004768371,0.9217999935150146,0.8659999966621399,0.9802000045776367,0.7609999895095825,0.9669999957084656,0.9818000078201294,0.9660000085830689
cnn_net_3,transform_3,"[0.011157379513976934, 0.0047782346159638295, 0.03516336564359492, 0.019324638562339156, 0.01965591810097612, 0.003197842940894689, 0.03487014262805847, 0.01272434971952449, 0.0066611143293580305, 0.00996218429654916]","[0.03014367276506183, 0.001673327006219128, 0.05362611352649304, 0.01352035553279309, 0.012289830167141889, 0.007889220447601628, 0.0219180117954691, 0.0066452935422047716, 0.0027856931433481915, 0.011637881435626893]",0.8939637660980224,0.988424026966095,0.878546142578125,0.9138609051704407,0.8594019293785096,0.9832783818244935,0.7332230925559997,0.9403337359428405,0.9820532679557801,0.9754987001419068,0.8303999900817871,0.9880000114440918,0.8472000002861023,0.9279999971389771,0.8575999855995178,0.974400007724762,0.7909999966621399,0.973200011253357,0.9817999958992004,0.955400002002716
cnn_net_3,transform_5,"[0.03804042465374276, 0.005133704388397443, 0.048858914778008564, 0.01185773730017467, 0.021890830044235778, 0.005544739601553011, 0.034747355342133135, 0.010956490354334835, 0.0036986668018151644, 0.005121247912862973]","[0.034959415827573226, 0.0032619009527998294, 0.04939877738405171, 0.022720915821221755, 0.024111409834151293, 0.00485797701535526, 0.06123202942837741, 0.00574107423043098, 0.0031622784141568175, 0.011685909446175107]",0.8512259960174561,0.9889902472496033,0.8583021998405457,0.9298264622688294,0.8297038197517395,0.9809316515922546,0.7598112344741821,0.940903389453888,0.9796929955482483,0.984624695777893,0.8638000011444091,0.9853999972343445,0.8496000051498414,0.8875999927520752,0.876800000667572,0.9850000023841858,0.7311999917030334,0.9807999968528748,0.9829999923706054,0.9427999973297119
cnn_net_3,transform_none,"[0.022679114184946645, 0.002905168895442726, 0.021477399986127157, 0.014008554000444784, 0.023483781993611116, 0.013444040932799267, 0.037549948957582596, 0.01489618445187078, 0.007591341704763178, 0.006447079872278422]","[0.023874681460671898, 0.0045782185349294785, 0.025732486747582738, 0.013335668726644852, 0.01676900647310638, 0.01341043246671435, 0.04886882180817499, 0.012377396392002974, 0.005199991281217882, 0.008231643961618173]",0.8392772674560547,0.9913407921791076,0.8645730137825012,0.920372724533081,0.85383620262146,0.9818543791770935,0.7831164240837097,0.9476874470710754,0.9828439116477966,0.9788373708724976,0.8870000123977662,0.9827999949455262,0.8828000068664551,0.9106000065803528,0.8690000057220459,0.9783999919891357,0.7148000001907349,0.9740000009536743,0.980400002002716,0.9577999830245971
