model,transform,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,num_runs
cnn_net,transform_3,0.9093800067901612,0.0029321665101681884,0.9103340625762939,0.0030032595274200376,0.9093800067901612,0.0029321620382647003,5
cnn_net,transform_5,0.9117199897766113,0.002766506201534255,0.913197374343872,0.0024676590783858534,0.9117200255393982,0.0027665498949106418,5
cnn_net,transform_none,0.9124400019645691,0.0018746755970527728,0.9143362522125245,0.0019518349881299138,0.9124399662017822,0.0018746776322465998,5
cnn_net_2,transform_3,0.912720000743866,0.0028923410820593546,0.9137886881828308,0.00302769141800817,0.912719988822937,0.0028923242660958107,5
cnn_net_2,transform_5,0.9119199991226197,0.0011906382252879846,0.9126112461090088,0.0009787393591434014,0.9119199752807617,0.0011906506406428748,5
cnn_net_2,transform_none,0.9143400073051453,0.0019794914170672704,0.9155064702033997,0.001089618352718526,0.9143399715423584,0.0019794855155258785,5
cnn_net_3,transform_3,0.9110399961471558,0.00210959671999461,0.9125314831733704,0.0015421025253700678,0.9110400080680847,0.002109582931977011,5
cnn_net_3,transform_5,0.9122600197792053,0.0027753208211426907,0.9126616477966308,0.002910960394916361,0.9122600197792053,0.0027753242577216856,5
cnn_net_3,transform_none,0.9137199997901917,0.002716173236068075,0.9141149282455444,0.0025436736241652527,0.9137200117111206,0.002716159981858135,5
