model,transform,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,num_runs
cnn_net,transform_3,0.9093800067901612,0.0029321665101681884,0.9103340625762939,0.0030032595274200376,0.9093800067901612,0.0029321620382647003,5
cnn_net,transform_5,0.9117199897766113,0.002766506201534255,0.913197374343872,0.0024676590783858534,0.9117200255393982,0.0027665498949106418,5
cnn_net,transform_none,0.9124400019645691,0.0018746755970527728,0.9143362522125245,0.0019518349881299138,0.9124399662017822,0.0018746776322465998,5
cnn_net_2,transform_3,0.9151199936866761,0.005970045269825138,0.9170235157012939,0.002623269226211442,0.9151199698448181,0.005970030773203194,5
cnn_net_2,transform_5,0.9146000146865845,0.0044054437527323576,0.9160590291023254,0.0036901301337855007,0.9146000027656556,0.004405476765308549,5
cnn_net_2,transform_none,0.9144600033760071,0.0011464524350939115,0.9153638124465943,0.0012107365188701346,0.9144600033760071,0.0011464867484318735,5
cnn_net_3,transform_3,0.9126999974250793,0.005465528376580336,0.9148584008216858,0.0035434140704400626,0.9127000093460083,0.005465526195548088,5
cnn_net_3,transform_5,0.9085999965667725,0.0043062873159115415,0.9104012489318848,0.003526815931427075,0.9086000084877014,0.004306265446592005,5
cnn_net_3,transform_none,0.913759994506836,0.0019210380976478897,0.9143739461898803,0.0018966390302613148,0.9137600421905517,0.0019210359879573602,5
